"Institution";"Country";"Founded";"Students";"Staff";"Admin";"Budget";"Russell"
"University of Glasgow";"Scotland";1451;30805;2942;4003;626.5;1
"University of Edinburgh";"Scotland";1583;34275;4589;6107;1102;1
"University of St Andrews";"Scotland";1413;8984;1137;1576;251.2;0
"University of Aberdeen";"Scotland";1495;14775;1086;1489;219.5;0
"University of Strathclyde";"Scotland";1964;22640;;3200;304.4;0
"LSE";"England";1895;11850;1725;2515;415.1;1
"UCL";"England";1826;41180;7700;5375;1451.1;1
"University of Cambridge";"England";1209;23247;7913;3615;2192;1
"University of Oxford";"England";1096;24515;7000;;2450;1
"University of Warwick";"England";1965;27278;2610;4033;688.6;1
"Imperial College London";"England";1907;19115;4390;4075;1064;1
"King’s College London";"England";1829;32895;5220;3485;902;1
"University of Manchester";"England";2004;40250;3849;;1095.4;1
"University of Bristol";"England";1595;25955;3285;6199;642.7;1
"University of Birmingham";"England";1825;35445;4020;;673.8;1
"Queen Mary University of London";"England";1785;20560;3235;4620;459.5;1
"University of York";"England";1963;19470;1935;3091;331.4;1
"University of Nottingham";"England";1798;30798;3495;;656.5;1
"University of Dundee";"Scotland";1967;15915;1410;1805;256.4;0
"Cardiff University";"Wales";1883;25898;3330;5739;644.8;1
"University of Stirling";"Scotland";1967;9548;;1872;113.3;0
"Queen’s University Belfast";"Northern Ireland";1810;18438;2414;1489;369.2;1
"Swansea University";"Wales";1920;20620;;3290;;0
